id,type,subtype,name,bill_number,congress,title,long_title,congress_website_title,congress_website_abstract,date_filed,scope,subjects,authors_raw,senate_website_permalink,download_url_sources,authors
01K6D890TWQ9K9CBRTSCYHH64B,bill,HB,HBN-03178,3178,16,,,"AN ACT PROMOTING THE TREATMENT AND ERADICATION OF TUBERCULOSIS, AMENDING FOR THE PURPOSE SECTION 12 OF REPUBLIC ACT NO. 7875, AS AMENDED BY REPUBLIC ACT NO. 10606, OTHERWISE KNOWN AS AN ACT INSTITUTING A NATIONAL HEALTH INSURANCE PROGRAM FOR ALL FILIPINOS AND ESTABLISHING THE PHILIPPINE HEALTH INSURANCE CORPORATION FOR THE PURPOSE",,2013-10-17,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03178.pdf'],"[{'aliases': ['Helen'], 'name_suffix': None, 'last_name': 'Tan', 'id': '01K5ST4EXRKXEE7R2CSEYQCWHK', 'middle_name': 'de Luna', 'first_name': 'Angelina'}]"
01K6D890TWQ9K9CBRTSCYHH64C,bill,HB,HBN-03179,3179,16,,,AN ACT GOVERNING PROPERTY OWNERSHIP OF COUPLES OF SAME SEX LIVING TOGETHER,,2013-10-17,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03179.pdf'],"[{'aliases': ['Grex'], 'name_suffix': None, 'last_name': 'Lagman', 'id': '01K5ST48JZY8Y0JF0C9TQKDC5X', 'middle_name': 'B', 'first_name': 'Edcel'}]"
01K6D890TWQ9K9CBRTSCYHH64D,bill,HB,HBN-03180,3180,16,,,"AN ACT ESTABLISHING MECHANISMS TOWARD SOUND MANAGEMENT OF FOOD AND FOOD STAPLES CONSUMPTION, ZERO FOOD-WASTE MANAGEMENT PURSUANT TO FOOD SECURITY AND APPROPRIATING FUNDS THEREFORE",,2013-10-17,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03180.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Guanlao', 'id': '01K5ST47M8YZJQ7AC8KECRQE0A', 'middle_name': 'H', 'first_name': 'Agapito'}]"
01K6D890TXV14C2KSYE608TMVR,bill,HB,HBN-03181,3181,16,,,AN ACT DECLARING EVERY 30TH OF JUNE A SPECIAL NON-WORKING HOLIDAY IN THE CITY OF IMUS PROVINCE OF CAVITE IN COMMEMORATION OF ITS FOUNDING ANNIVERSARY,,2013-10-17,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03181.pdf'],"[{'aliases': ['AA'], 'name_suffix': None, 'last_name': 'Advincula', 'id': '01K5ST402Y8JHJHGJYT9SD7DYM', 'middle_name': 'Lacson', 'first_name': 'Alex'}]"
01K6D890TXV14C2KSYE608TMVS,bill,HB,HBN-03182,3182,16,,,"AN ACT ESTABLISHING THE FIFTY (50) BED CAPACITY DISTRICT HOSPITAL IN THE CITY OF IMUS, PROVINCE OF CAVITE OTHERWISE KNOWN AS THE 'OSPITAL NG IMUS' AND APPROPRIATING FUNDS THEREFOR",,2013-10-17,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03182.pdf'],"[{'aliases': ['AA'], 'name_suffix': None, 'last_name': 'Advincula', 'id': '01K5ST402Y8JHJHGJYT9SD7DYM', 'middle_name': 'Lacson', 'first_name': 'Alex'}]"
01K6D890TR97GP35Q86ZD60SQR,bill,HB,HBN-03140,3140,16,,,"AN ACT DIVIDING THE COTABATO SCHOOLS DIVISION, PROVINCE OF NORTH COTABATO AND ESTABLISHING SEPARATE SCHOOLS DIVISION OFFICE IN THE P-PALMA ALLIANCE MUNICIPALITIES, PROVINCE OF NORTH COTABATO TO BE LOCATED IN THE MUNICIPALITY OF MIDSAYAP, PROVINCE OF NORTH COTABATO AND APPROPRIATING FUNDS THEREFOR",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03140.pdf'],"[{'aliases': ['Susing'], 'name_suffix': None, 'last_name': 'Sacdalan', 'id': '01K5ST4DCY2WFS3AZTQP3B1RNN', 'middle_name': 'N', 'first_name': 'Jesus'}]"
01K6D890TR97GP35Q86ZD60SQS,bill,HB,HBN-03141,3141,16,,,"AN ACT CONVERTING THE ROAD STRETCHING FROM BARANGAYS MAINDANG - AGDAHON - MAINIT - AGNAGA - CARATAYA - SAN ANTONIO - PUTIAN - MAHUNODHUNOD ROADS IN THE MUNICIPALITY OF CUARTERO TO BARANGAYS ASTORGA - DACUTON TO NATIONAL HIGHWAY (SAN RAFAEL - ILOILO ROAD) IN THE MUNICIPALITY OF DUMARAO, ALL IN THE PROVINCE OF CAPIZ INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03141.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Castro', 'id': '01K5ST43GPFT5SBSQVZP3E8QT3', 'middle_name': 'H', 'first_name': 'Fred'}]"
01K6D890TR97GP35Q86ZD60SQT,bill,HB,HBN-03142,3142,16,,,"AN ACT CONVERTING THE ROAD STRETCHING FROM BARANGAYS SAN ROQUE - JUNCTION SAN ROQUE TO THE NATIONAL HIGHWAY (ILOILO - CAPIZ ROAD OLD ROUTE) - CONSOLACION - STA. RITA - STA. CARMEN ROADS IN THE MUNICIPALITY OF DUMALAG TO BARANGAYS BAYE - BUNGSI - BATO BATO - POBLACION - TO NATIONAL HIGHWAY (AKLAN - CAPIZ ROAD) IN THE MUNICIPALITY OF MAMBUSAO AND BARANGAYS JUNCTION PINAMALATICAN - MANSACUL - MANGOSO - GUINTAS TO NATIONAL HIGHWAY (AKLAN - CAPIZ ROAD) IN THE MUNICIPALITY OF SIGMA, ALL IN THE PROVINCE OF CAPIZ INTO A NATIONAL ROAD AND APPROPRIATING FUNDS THEREFOR",,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03142.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Castro', 'id': '01K5ST43GPFT5SBSQVZP3E8QT3', 'middle_name': 'H', 'first_name': 'Fred'}]"
01K6D890TR97GP35Q86ZD60SQV,bill,HB,HBN-03143,3143,16,,,AN ACT ABOLISHING THE RESERVE OFFICERS TRAINING CORPS AND STRENGTHENING THE SOCIAL AND CIVIC SERVICE COMPONENTS OF THE NATIONAL SERVICE TRAINING PROGRAM THROUGH THE ESTABLISHMENT OF ADDITIONAL SOCIAL AND CIVIC SERVICE PROGRAMS AVAILABLE TO STUDENTS BY AMENDING AND EXPANDING THE SCOPE OF REPUBLIC ACT 9163 OR THE NATIONAL SERVICE TRAINING PROGRAM (NSTP) ACT OF 2001,,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03143.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Ridon', 'id': '01K5ST4CA2TJD1QFPJGQ0HQYAG', 'middle_name': 'Lacuanan', 'first_name': 'Terry'}]"
01K6D890TR97GP35Q86ZD60SQW,bill,HB,HBN-03144,3144,16,,,"AN ACT AMENDING CERTAIN SECTIONS OF REPUBLIC ACT NUMBER NINETY HUNDRED AND SIXTY FOUR (RA 9064), OTHERWISE KNOWN AS 'NATIONAL ATHLETES, COACHES AND TRAINERS BENEFITS AND INCENTIVES ACT OF 2001' AND PROVIDING FUNDS THEREFOR",Includes in the grant of privileges to national athletes who compete in international sports federations participated in by not less than 45 countries.,2013-10-16,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_16/HB03144.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Del Rosario', 'id': '01K5ST44ZHR04D68C00V9FFYWD', 'middle_name': 'G', 'first_name': 'Anthony'}]"
