id,type,subtype,name,bill_number,congress,title,long_title,congress_website_title,congress_website_abstract,date_filed,scope,subjects,authors_raw,senate_website_permalink,download_url_sources,authors
01K6D88S3CFAZDFQXJ1HKQ9B6T,bill,HB,HBN-06098,6098,13,,,"AN ACT ESTABLISHING A DISTRICT BRANCH OF THE LAND TRANSPORTATION OFFICE IN THE SECOND DISTRICT OF ILOILO, APPROPRIATING FUNDS THEREFOR AND FOPR OTHER PURPOSES",,2007-02-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06098.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Syjuco', 'id': '01K5ST4ERMP63MERCMNBM1YC3J', 'middle_name': None, 'first_name': 'Judy'}]"
01K6D88S3CFAZDFQXJ1HKQ9B6V,bill,HB,HBN-06099,6099,13,,,"AN ACT TO BE KNOWN AS \""THE MARINE LIENS AND SHIP MORTGAGE ACT OF 2002","\""Maritime Liens and Ship Mortgage Act of 2002\"". The bill enumerates and defines the preference of maritime liens to enable ship financiers to assess favorably ship mortgages in the Philippines to ensure repayment of loans. Moreover, this bill deals with maritime liens separately from ship mortgages and limits the number of claims secured by maritime liens to a minimum.",2007-02-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06099.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Syjuco', 'id': '01K5ST4ERMP63MERCMNBM1YC3J', 'middle_name': None, 'first_name': 'Judy'}]"
01K6D88S3D4N0HN1JGFXVY2NFK,bill,HB,HBN-06100,6100,13,,,AN ACT TO ESTABLISH A HIGHER STANDARD OF PROMOTION AND PROTECTION OF THE RIGHTS AND WELFARE OF OVERSEAS SEAFARERS AND FOR OTHER PURPOSES,"\""overseas Seafarers Code\"". The bill seeks to ensure the safety, protect the rights and promote the welfare of Filipino overseas seafarers.",2007-02-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06100.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Syjuco', 'id': '01K5ST4ERMP63MERCMNBM1YC3J', 'middle_name': None, 'first_name': 'Judy'}]"
01K6D88S3JXBFN9BPD330CV32F,bill,HB,HBN-06101,6101,13,,,"AN ACT INCREASING THE DISCOUNT PRIVILEGE OF SENIOR CITIZENS FROM 20% TO 34%, FURTHER AMENDING REPUBLIC ACT 7432 OR \""AN ACT TO MAXIMIZE THE CONTRIBUTION OF SENIOR CITIZENS TO NATION BUILDING, GRANT BENEFITS AND SPECIAL PRIVILEGES,\"" AS AMENDED","The bill proposes to increase the discount being enjoyed by senior citizens on the purchase of goods and services, medical and dental services, transport fares, funeral and burial services, among others, from 20% to 34%.",2007-02-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06101.pdf'],"[{'aliases': ['Tony'], 'name_suffix': 'V', 'last_name': 'Cuenco', 'id': '01K5ST44BC8J173S93WJRTZH8W', 'middle_name': 'Veloso', 'first_name': 'Antonio'}]"
01K6D88S3AMFGZ9RBXB11ZR864,bill,HB,HBN-06089,6089,13,,,AN ACT REGULATING THE RESICADA SYSTEM IN THE COCONUT INDUSTRY AND FOR OTHER PURPOSES,"\""Resicada System Regulation Act\"". The bill prohibits the arbitrary deduction from the prices of copra by reason of its moisture content unless the moisture has been determined by a duly calibrated meter and was proven to have exceeded the established standards.",2007-02-06,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06089.pdf'],"[{'aliases': ['Ka Paeng'], 'name_suffix': None, 'last_name': 'Mariano', 'id': '01K5ST49RP9G018PNQA9DG7SPT', 'middle_name': 'Vitriolo', 'first_name': 'Rafael'}]"
01K6D88S3AMFGZ9RBXB11ZR865,bill,HB,HBN-06090,6090,13,,,"AN ACT CONVERTING THE KABASALAN NATIONAL VOCATIONAL SCHOOL IN THE MUNICIPALITY OF KABASALAN, PROVINCE OF ZAMBOANGA SIBUGAY, INTO THE KABASALAN INSTITUTE OF TECHNOLOGY AND APPROPRIATING FUNDS THEREFOR",,2007-02-06,National,[],,,[],"[{'aliases': ['Bel'], 'name_suffix': None, 'last_name': 'Cabilao', 'id': '01K5ST42REEPHD02X4ZWGAJJ0X', 'middle_name': 'A', 'first_name': 'Belma'}]"
01K6D88S3AMFGZ9RBXB11ZR866,bill,HB,HBN-06091,6091,13,,,"AN ACT CREATING THE LANAO DEL SUR INSTITUTE OF ARTS AND TRADES - CULAS II CAMPUS IN THE MUNICIPALITY OF MALABANG, PROVINCE OF LANAO DEL SUR AND APPROPRIATING FUNDS THEREFOR",,2007-02-06,National,[],,,[],"[{'aliases': ['Jun'], 'name_suffix': 'Jr', 'last_name': 'Macarambon', 'id': '01K5ST495VSVK1QTF0CPJ2X2AP', 'middle_name': 'O', 'first_name': 'Benasing'}]"
01K6D88S3AMFGZ9RBXB11ZR867,bill,HB,HBN-06092,6092,13,,,"AN ACT CONVERTING THE TAGUM NATIONAL TRADE SCHOOL IN THE CITY OF TAGUM, PROVINCE OF DAVAO DEL NORTE INTO A COLLEGE OF TECHNOLOGY, TO BE KNOWN AS THE DAVAO DEL NORTE COLLEGE OF TECHNOLOGY AND APPROPRIATING FUNDS THEREFOR",,2007-02-06,National,[],,,[],"[{'aliases': ['Rel'], 'name_suffix': None, 'last_name': 'Olaño', 'id': '01K5ST4APYYDE5G157R8W6MENJ', 'middle_name': 'Reyes', 'first_name': 'Arrel'}]"
01K6D88S32BW9YQM1MW23ZYENF,bill,HB,HBN-06085,6085,13,,,AN ACT INSTITUTING THE PHILIPPINE NATIONAL RAILWAY SYSTEM AND FOR OTHER PURPOSES,"\""Philippine National Railway Act of 2007\"". The bill aims to provide the public with another mass transport system i.e., the railway system, that is cheaper, faster, safer and more reliable.",2007-02-05,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06085.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Garin', 'id': '01K5ST46YKK6JE4263PWHS26N8', 'middle_name': 'L', 'first_name': 'Janette'}]"
01K6D88S32BW9YQM1MW23ZYENG,bill,HB,HBN-06086,6086,13,,,"AN ACT ESTABLISHING IN THE MUNICIPALITY OF LUBAO, PROVINCE OF PAMPANGA, THE PRES. DIOSDADO P. MACAPAGAL MEMORIAL LIBRARY AND MUSEUM",,2007-02-05,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_13/HB06086.pdf'],"[{'aliases': ['Rey'], 'name_suffix': None, 'last_name': 'Aquino', 'id': '01K5ST40YB0ZFJN7FK7CZ0N6PX', 'middle_name': 'Bondoc', 'first_name': 'Jesus Reynaldo'}]"
01K6D88S3AMFGZ9RBXB11ZR862,bill,HB,HBN-06087,6087,13,,,"AN ACT DEFINING THE ARCHIPELAGIC BASELINES OF THE PHILIPPINE ARCHIPELAGO, AMENDING FOR THE PURPOSE REPUBLIC ACT NO. 3046, AS AMENDED BY REPUBLIC ACT NO. 5446","\""Archipelagic Baselines Law of the Philippines\"". The bill establishes new basepoints to serve as bases from which to draw the 12-mile territorial sea, the 24-mile contiguous zone and the 200-mile Exclusive Economic Zone as provided under the UNCLOS (United Nations Convention of the Law of the Sea) and to serve as well in defining the territory of the Philippine Archipelago.",2007-02-05,National,[],,,[],"[{'aliases': ['Tony'], 'name_suffix': 'V', 'last_name': 'Cuenco', 'id': '01K5ST44BC8J173S93WJRTZH8W', 'middle_name': 'Veloso', 'first_name': 'Antonio'}]"
01K6D88S3AMFGZ9RBXB11ZR863,bill,HB,HBN-06088,6088,13,,,"AN ACT DECLARING A NATIONAL POLICY ON TOURISM AS THE PRIMARY ENGINE OF INVESTMENT, EMPLOYMENT, GROWTH AND NATIONAL DEVELOPMENT AND STRENGTHENING THE DEPARTMENT OF TOURISM AND APPROPRIATING FUNDS THEREFOR","\""Tourism Act of 2007\"". The bill calls for the establishment of a national policy framework for tourism that will unify the efforts of all sectors in the industry in terms of development and promotion. It also seeks to strengthen the Department of Tourism by streamlining its structure and its attached agencies.",2007-02-05,National,[],,,[],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Chatto', 'id': '01K5ST43NGA4385C9ZQVBR446Y', 'middle_name': 'M', 'first_name': 'Edgar'}]"
01K6D88S2E8S7SDXC5WWHVRSR4,bill,HB,HBN-06077,6077,13,,,"AN ACT REGULATING THE PRACTICE OF METALLURGICAL ENGINEERING IN THE PHILIPPINES REPEALING FOR THIS PURPOSE PRESIDENTIAL DECREE 1536, OTHERWISE KNOWN AS THE METALLURGICAL ENGINEERING LAW OF 1978, AND FOR OTHER PURPOSES",The measure seeks to update and upgrade the metallurgical engineering profession and to re-define and expand the scope of the practice.,2007-02-01,National,[],,,[],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Libanan', 'id': '01K5ST48V23Z03RH92P07508BQ', 'middle_name': 'C', 'first_name': 'Marcelino'}]"
01K6D88S2E8S7SDXC5WWHVRSR5,bill,HB,HBN-06078,6078,13,,,"AN ACT ESTABLISHING A PROVIDENT PERSONAL SAVINGS PLAN, KNOWN AS THE PERSONAL EQUITY AND RETIREMENT ACCOUNT (\""PERA\"")","The bill aims to provide people with a savings plan for their retirement years. It encourages savings mobilization, promotes capital market development and generates investments.",2007-02-01,National,[],,,[],"[{'aliases': ['Sonny'], 'name_suffix': None, 'last_name': 'Angara', 'id': '01K5S6MAZ4YBST5GDJV827A0HN', 'middle_name': 'Manalang', 'first_name': 'Juan Edgardo'}]"
01K6D88S3117CZT2KXE9PBJD82,bill,HB,HBN-06079,6079,13,,,"AN ACT ESTABLISHING A NATIONAL HIGH SCHOOL IN BARANGAY BAYASONG, MUNICIPALITY OF PILAR, PROVINCE OF SORSOGON TO BE KNOWN AS THE BAYASONG NATIONAL HIGH SCHOOL AND APPROPRIATING FUNDS THEREFOR",,2007-02-01,National,[],,,[],"[{'aliases': ['Chiz'], 'name_suffix': None, 'last_name': 'Escudero', 'id': '01K5S6MAZ4YBST5GDJV827A0HY', 'middle_name': 'Guevara', 'first_name': 'Francis'}]"
01K6D88S3117CZT2KXE9PBJD83,bill,HB,HBN-06080,6080,13,,,"AN ACT ESTABLISHING A NATIONAL HIGH SCHOOL IN BARANGAY PANLAYAAN, WEST DISTRICT, PROVINCE OF SORSOGON TO BE KNOWN AS THE PANLAYAAN NATIONAL HIGH SCHOOL AND APPROPRIATING FUNDS THEREFOR",,2007-02-01,National,[],,,[],"[{'aliases': ['Chiz'], 'name_suffix': None, 'last_name': 'Escudero', 'id': '01K5S6MAZ4YBST5GDJV827A0HY', 'middle_name': 'Guevara', 'first_name': 'Francis'}]"
01K6D88S3117CZT2KXE9PBJD84,bill,HB,HBN-06081,6081,13,,,"AN ACT ESTABLISHING A NATIONAL HIGH SCHOOL IN BARANGAY KITUBO, MUNICIPALITY OF KITAOTAO, PROVINCE OF BUKIDNON, TO BE KNOWN AS THE KITUBO NATIONAL HIGH SCHOOL AND APPROPRIATING FUNDS THEREFOR",,2007-02-01,National,[],,,[],"[{'aliases': ['Migs', 'Migz'], 'name_suffix': None, 'last_name': 'Zubiri', 'id': '01K5ST4HCY5N9130WESWJH9BSZ', 'middle_name': 'Fernandez', 'first_name': 'Juan Miguel'}]"
