id,type,subtype,name,bill_number,congress,title,long_title,congress_website_title,congress_website_abstract,date_filed,scope,subjects,authors_raw,senate_website_permalink,download_url_sources,authors
01K6D88YWG68JKGFT2YSGPQXEY,bill,HB,HBN-06922,6922,15,,,"AN ACT ESTABLISHING A TECHNICAL AND VOCATIONAL HIGH SCHOOL IN BARANGAY BASAK, MAASIN CITY, SOUTHERN LEYTE AND APPROPRIATING FUNDS THEREFOR",,2013-03-26,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06922.pdf'],"[{'aliases': ['Oging'], 'name_suffix': None, 'last_name': 'Mercado', 'id': '01K5ST4A4YX4NHXCEHQ5VGRKN0', 'middle_name': 'Gaviola', 'first_name': 'Roger'}]"
01K6D88YWG68JKGFT2YSGPQXEX,bill,HB,HBN-06921,6921,15,,,"AN ACT CONVERTING THE BUGANG ELEMENTARY SCHOOL IN BARANGAY BUGANG, MUNICIPALITY OF SAGAY, CAMIGUIN INTO AN INTEGRATED SCHOOL TO BE KNOWN AS 'BUGANG INTEGRATED SCHOOL' AND APPROPRIATING FUNDS THEREFOR",,2013-03-25,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06921.pdf'],"[{'aliases': ['Loloy'], 'name_suffix': None, 'last_name': 'Romualdo', 'id': '01K5ST4D7FNQR8PH4M5NY3QQVV', 'middle_name': 'Palarca', 'first_name': 'Pedro'}]"
01K6D88YWG68JKGFT2YSGPQXEW,bill,HB,HBN-06920,6920,15,,,"AN ACT GRANTING SOCIAL PENSION TO POOR OR INDIGENT SENIOR CITIZENS IN THE AMOUNT OF ONE THOUSAND PESOS (P1,000.00) MONTHLY AND FOR OTHER PURPOSE",,2013-03-05,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06920.pdf'],"[{'aliases': ['Winnie'], 'name_suffix': None, 'last_name': 'Castelo', 'id': '01K5ST438NRJ1T8FA5N6QSBVWY', 'middle_name': '', 'first_name': 'Winston'}]"
01K6D88YWFC9HM661CRTGW3HWR,bill,HB,HBN-06917,6917,15,,,"AN ACT ESTABLISHING A NATIONAL VOCATIONAL HIGH SCHOOL IN BARANGAY SAN ISIDRO, SOGOD, SOUTHERN LEYTE",,2013-03-04,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06917.pdf'],"[{'aliases': ['Oging'], 'name_suffix': None, 'last_name': 'Mercado', 'id': '01K5ST4A4YX4NHXCEHQ5VGRKN0', 'middle_name': 'Gaviola', 'first_name': 'Roger'}]"
01K6D88YWFC9HM661CRTGW3HWS,bill,HB,HBN-06918,6918,15,,,"AN ACT ESTABLISHING A NATIONAL VOCATIONAL HIGH SCHOOL IN BARANGAY KAHUPIAN, SOGOD, SOUTHERN LEYTE",,2013-03-04,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06918.pdf'],"[{'aliases': ['Oging'], 'name_suffix': None, 'last_name': 'Mercado', 'id': '01K5ST4A4YX4NHXCEHQ5VGRKN0', 'middle_name': 'Gaviola', 'first_name': 'Roger'}]"
01K6D88YWFC9HM661CRTGW3HWT,bill,HB,HBN-06919,6919,15,,,"AN ACT MANDATING THE CONCRETE PAVING OF SAN ISIDRO TO MAGATAS ROAD IN SOGOD, SOUTHERN LEYTE",,2013-03-04,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06919.pdf'],"[{'aliases': ['Oging'], 'name_suffix': None, 'last_name': 'Mercado', 'id': '01K5ST4A4YX4NHXCEHQ5VGRKN0', 'middle_name': 'Gaviola', 'first_name': 'Roger'}]"
01K6D88YWFC9HM661CRTGW3HWP,bill,HB,HBN-06915,6915,15,,,"AN ACT CHANGING THE NAME OF MAHINOG NATIONAL HIGH SCHOOL IN BARANGAY HUBANGON, MUNICIPALITY OF MAHINOG, PROVINCE OF CAMIGUIN TO SIXTO A. ABAO NATIONAL HIGH SCHOOL AND FOR OTHER PURPOSES",,2013-02-21,National,[],,,[],"[{'aliases': ['Loloy'], 'name_suffix': None, 'last_name': 'Romualdo', 'id': '01K5ST4D7FNQR8PH4M5NY3QQVV', 'middle_name': 'Palarca', 'first_name': 'Pedro'}]"
01K6D88YWFC9HM661CRTGW3HWQ,bill,HB,HBN-06916,6916,15,,,AN ACT PROVIDING FOR THE REAPPORTIONMENT OF THE LONE DISTRICT OF THE CITY OF PASAY,,2013-02-21,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06916.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Calixto-Rubiano', 'id': '01K5ST4303W6M8WYV8DZYPTFZP', 'middle_name': 'G', 'first_name': 'Emi'}]"
01K6D88YWFC9HM661CRTGW3HWM,bill,HB,HBN-06913,6913,15,,,"AN ACT ESTABLISHING MT. MATUTUM LOCATED IN THE MUNICIPALITIES OF POLOMOLOK, TAMPAKAN AND TUPI, PROVINCE OF SOUTH COTABATO AND THE MUNICIPALITY OF MALUNGON PROVINCE OF SARANGANI AS A PROTECTED AREA UNDER THE CATEGORY OF PROTECTED LANDSCAPE, PROVIDING FOR ITS MANAGEMENT AND FOR OTHER PURPOSES",,2013-02-07,National,[],,,[],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Avance-Fuentes', 'id': '01K5ST419XP7Q2T3D952DZMRMT', 'middle_name': None, 'first_name': 'Daisy'}]"
01K6D88YWFC9HM661CRTGW3HWN,bill,HB,HBN-06914,6914,15,,,AN ACT ESTABLISHING A STATE COLLEGE IN THE CITY OF CAGAYAN DE ORO CITY TO BE KNOWN AS THE CAGAYAN DE ORO STATE COLLEGE AND APPROPRIATING FUNDS THEREFOR,,2013-02-07,National,[],,,['https://docs.congress.hrep.online/legisdocs/basic_15/HB06914.pdf'],"[{'aliases': None, 'name_suffix': None, 'last_name': 'Benaldo', 'id': '01K5ST42389EXJZCBRYA7P968W', 'middle_name': 'A', 'first_name': 'Benjo'}]"
